rho,arrival_rate,service_time,seed,number_to_serve,md1_mean_delay,mm1_mean_delay,md1_mean_number,mm1_mean_number,md1_utilization,mm1_utilization
0.8,0.05,16,8675309,1000000,48.1861162,79.7326374,2.409936193,3.988375156,0.800209316,0.800505277
0.9,0.05625,16,5259140,1000000,88.72718059,157.8857388,4.995794072,8.887128447,0.900881834,0.899128445
0.9,0.05625,16,1357911,1000000,87.23597397,162.411379,4.904909517,9.136213245,0.899612267,0.901411613
0.9,0.05625,16,2468022,1000000,90.12959035,156.9038197,5.070454597,8.833275338,0.900118077,0.899786753
0.9,0.05625,16,3141592,1000000,87.31498796,155.3776759,4.91201036,8.733798055,0.900099371,0.898717662
0.9,0.05625,16,8675309,1000000,88.43286484,160.5915976,4.975631747,9.030688132,0.900232149,0.899268229
0.95,0.059375,16,5259140,1000000,169.0069178,309.1220631,10.04457425,18.37323654,0.950926684,0.949751991
0.95,0.059375,16,1357911,1000000,165.0842586,318.1709655,9.797625188,18.87655393,0.949587831,0.949871375
0.95,0.059375,16,2468022,1000000,169.8440247,324.7534818,10.08571051,19.29559677,0.950115074,0.949492392
0.95,0.059375,16,3141592,1000000,168.2682756,323.1224233,9.991632337,19.19726137,0.95006689,0.951193962
0.95,0.059375,16,8675309,1000000,170.6971119,327.5622435,10.13770682,19.45467833,0.950240501,0.950331306
0.98,0.06125,16,5259140,1000000,398.0875149,746.5229555,24.40644694,45.74075929,0.980947999,0.97841573
0.98,0.06125,16,1357911,1000000,407.4564929,811.2118835,24.94583678,49.66115382,0.979573023,0.980471
0.98,0.06125,16,2468022,1000000,398.8994319,786.5858911,24.4351186,48.20203268,0.980101415,0.979119241
0.98,0.06125,16,3141592,1000000,402.7067883,839.4357219,24.66678229,51.40509764,0.980039394,0.979657869
0.98,0.06125,16,8675309,1000000,412.9492146,780.6697126,25.2994056,47.81673011,0.980242789,0.979791623
