max_queue_size,arrival_rate,rho,service_time,seed,number_to_serve,mean_delay,rejection_probability,mean_number,utilization,total_arrived,total_rejected,total_served,final_number_in_system
1,0.3,2.4,8,5259140,100000,12.96356745,0.599069048,1.561637878,0.963706856,249422,149421,100000,1
1,0.3,2.4,8,1357911,100000,12.97830912,0.597419485,1.56333061,0.963653004,248400,148399,100000,1
1,0.3,2.4,8,2468022,100000,12.9890274,0.598827787,1.56537518,0.964119836,249272,149271,100000,1
1,0.3,2.4,8,3141592,100000,12.96573872,0.599500983,1.561749893,0.963611567,249691,149690,100000,1
1,0.3,2.4,8,8675309,100000,12.96602511,0.598650677,1.561796332,0.963620795,249162,149161,100000,1
1,0.5,4,8,5259140,100000,14.03340974,0.751664469,1.74650076,0.995624466,402681,302681,100000,0
1,0.5,4,8,1357911,100000,14.03197073,0.75054132,1.746125517,0.995507255,400872,300871,100000,1
1,0.5,4,8,2468022,100000,14.03243306,0.750792472,1.745771676,0.995272505,401276,301275,100000,1
1,0.5,4,8,3141592,100000,14.03358981,0.751236962,1.746246463,0.995463,401993,301992,100000,1
1,0.5,4,8,8675309,100000,14.03489487,0.751364374,1.746072947,0.995271507,402199,302198,100000,1
1,1,8,8,5259140,100000,15.00479633,0.875149975,1.875562327,0.999975134,800969,700968,100000,1
1,1,8,8,1357911,100000,14.99976744,0.874963896,1.874939533,0.999979253,799777,699776,100000,1
1,1,8,8,2468022,100000,14.99896777,0.87494482,1.87481575,0.999965588,799655,699654,100000,1
1,1,8,8,3141592,100000,15.0036086,0.875052946,1.875408573,0.999972578,800347,700346,100000,1
1,1,8,8,8675309,100000,14.99621182,0.875084941,1.874497055,0.999979074,800552,700551,100000,1
1,2,16,8,5259140,100000,15.50380124,0.937549297,1.937984552,1,1601279,1501278,100000,1
1,2,16,8,1357911,100000,15.5025034,0.937433759,1.937822659,1,1598322,1498321,100000,1
1,2,16,8,2468022,100000,15.50098131,0.937537672,1.937632298,1,1600981,1500980,100000,1
1,2,16,8,3141592,100000,15.49805002,0.937509803,1.937266026,1,1600267,1500266,100000,1
1,2,16,8,8675309,100000,15.49988089,0.937494882,1.937495072,1,1599885,1499884,100000,1
1,5,40,8,5259140,100000,15.8000286,0.975015128,1.975013267,1,4002462,3902461,100000,1
1,5,40,8,1357911,100000,15.79961779,0.974997719,1.974961821,1,3999675,3899674,100000,1
1,5,40,8,2468022,100000,15.80107206,0.975013112,1.975143851,1,4002139,3902138,100000,1
1,5,40,8,3141592,100000,15.79969336,0.975019067,1.974971253,1,4003093,3903092,100000,1
1,5,40,8,8675309,100000,15.80016966,0.974992879,1.975031158,1,3998901,3898900,100000,1
5,0.001,0.008,8,5259140,100000,8.032485517,0,0.008021241,0.007988801,100000,0,100000,0
5,0.001,0.008,8,1357911,100000,8.033384083,0,0.008037432,0.008004031,100000,0,100000,0
5,0.001,0.008,8,2468022,100000,8.031047998,0,0.008015618,0.00798463,100000,0,100000,0
5,0.001,0.008,8,3141592,100000,8.032139516,0,0.008032444,0.008000303,100000,0,100000,0
5,0.001,0.008,8,8675309,100000,8.031971359,0,0.008056094,0.008024027,100000,0,100000,0
5,0.005,0.04,8,5259140,100000,8.169594105,0,0.040790777,0.039943994,100000,0,100000,0
5,0.005,0.04,8,1357911,100000,8.170947636,0,0.040875309,0.04002014,100000,0,100000,0
5,0.005,0.04,8,2468022,100000,8.167554184,0,0.040759296,0.039923135,100000,0,100000,0
5,0.005,0.04,8,3141592,100000,8.161578149,0,0.040809424,0.040001503,100000,0,100000,0
5,0.005,0.04,8,8675309,100000,8.167116373,0,0.040958214,0.040120122,100000,0,100000,0
5,0.01,0.08,8,5259140,100000,8.350130418,0,0.083384357,0.079887956,100000,0,100000,0
5,0.01,0.08,8,1357911,100000,8.354185581,0,0.083583886,0.080040248,100000,0,100000,0
5,0.01,0.08,8,2468022,100000,8.344547026,0,0.083285086,0.079846238,100000,0,100000,0
5,0.01,0.08,8,3141592,100000,8.339223825,0,0.083395338,0.080002974,100000,0,100000,0
5,0.01,0.08,8,8675309,100000,8.347269783,0,0.083723338,0.080240213,100000,0,100000,0
5,0.025,0.2,8,5259140,100000,9.003734443,0,0.224777838,0.199719651,100000,0,100000,0
5,0.025,0.2,8,1357911,100000,9.008797152,0,0.225332966,0.200100379,100000,0,100000,0
5,0.025,0.2,8,2468022,100000,8.987298776,0,0.224250355,0.199615356,100000,0,100000,0
5,0.025,0.2,8,3141592,100000,9.003305273,0,0.225090569,0.200007053,100000,0,100000,0
5,0.025,0.2,8,8675309,100000,8.997676716,0,0.22561707,0.20060029,100000,0,100000,0
5,0.05,0.4,8,5259140,100000,10.67153087,0.00009999,0.532752557,0.399382292,100010,10,100000,0
5,0.05,0.4,8,1357911,100000,10.65705993,0.000129983,0.533065803,0.400159748,100013,13,100000,0
5,0.05,0.4,8,2468022,100000,10.64701544,4.99975E-05,0.531306359,0.399215245,100005,5,100000,0
5,0.05,0.4,8,3141592,100000,10.67814414,7.99936E-05,0.533857533,0.399962785,100008,8,100000,0
5,0.05,0.4,8,8675309,100000,10.65597851,0.000149978,0.534304816,0.401130551,100015,15,100000,0
5,0.075,0.6,8,5259140,100000,13.73936308,0.002264836,1.026685439,0.597806116,100228,227,100000,1
5,0.075,0.6,8,1357911,100000,13.68570434,0.002443963,1.024264132,0.598728991,100247,245,100000,2
5,0.075,0.6,8,2468022,100000,13.68578995,0.002613128,1.021999198,0.597397741,100263,262,100000,1
5,0.075,0.6,8,3141592,100000,13.71478258,0.002762321,1.02587347,0.598401514,100278,277,100000,1
5,0.075,0.6,8,8675309,100000,13.7539393,0.002722567,1.031580344,0.600020297,100273,273,100000,0
5,0.1,0.8,8,5259140,100000,19.32479043,0.021133309,1.889844514,0.782345544,102161,2159,100000,2
5,0.1,0.8,8,1357911,100000,19.17951917,0.0214877,1.877370042,0.783061851,102198,2196,100000,2
5,0.1,0.8,8,2468022,100000,19.09210807,0.02199425,1.862633715,0.78044099,102254,2249,100000,5
5,0.1,0.8,8,3141592,100000,19.23957602,0.022061628,1.88273708,0.782834469,102259,2256,100000,3
5,0.1,0.8,8,8675309,100000,19.30910335,0.023179714,1.892779611,0.784199199,102374,2373,100000,1
5,0.125,1,8,5259140,100000,26.70932925,0.086621365,3.048465263,0.913066676,109488,9484,100000,4
5,0.125,1,8,1357911,100000,26.71978865,0.085647407,3.056607257,0.915159112,109367,9367,100000,0
5,0.125,1,8,2468022,100000,26.59058695,0.085584968,3.034601962,0.912954571,109365,9360,100000,5
5,0.125,1,8,3141592,100000,26.74807684,0.085795517,3.062679727,0.916001664,109388,9385,100000,3
5,0.125,1,8,8675309,100000,26.78071897,0.087972421,3.060528498,0.914242811,109648,9646,100000,2
5,0.15,1.2,8,5259140,100000,33.38182325,0.188947193,4.065279611,0.974242612,123299,23297,100000,2
5,0.15,1.2,8,1357911,100000,33.27615889,0.186309529,4.053119288,0.974399994,122903,22898,100000,5
5,0.15,1.2,8,2468022,100000,33.33876371,0.187206892,4.061017596,0.974476775,123035,23033,100000,2
5,0.15,1.2,8,3141592,100000,33.41446708,0.187253133,4.078014886,0.976344706,123042,23040,100000,2
5,0.15,1.2,8,8675309,100000,33.37553332,0.189783683,4.065429172,0.974441595,123430,23425,100000,5
5,0.2,1.6,8,5259140,100000,40.36583607,0.376274675,5.037222032,0.998291541,160335,60330,100000,5
5,0.2,1.6,8,1357911,100000,40.34183487,0.374595849,5.034761775,0.998396742,159903,59899,100000,4
5,0.2,1.6,8,2468022,100000,40.35745257,0.375448874,5.03729362,0.998511588,160123,60118,100000,5
5,0.2,1.6,8,3141592,100000,40.48501042,0.377179762,5.053443212,0.99855903,160568,60563,100000,5
5,0.2,1.6,8,8675309,100000,40.34841459,0.376887178,5.035029517,0.998293329,160491,60487,100000,4
5,0.3,2.4,8,5259140,100000,44.21071251,0.583796337,5.526408325,0.999989068,240279,140274,100000,5
5,0.3,2.4,8,1357911,100000,44.20781879,0.582233956,5.526088541,0.999996989,239378,139374,100000,4
5,0.3,2.4,8,2468022,100000,44.21243767,0.58406811,5.526695569,1,240436,140431,100000,5
5,0.3,2.4,8,3141592,100000,44.21490665,0.584550194,5.526944189,0.999992532,240715,140710,100000,5
5,0.3,2.4,8,8675309,100000,44.20589504,0.583485008,5.525815516,0.999991951,240097,140093,100000,4
5,0.5,4,8,5259140,100000,45.96819838,0.750517028,5.746170892,1,400849,300844,100000,5
5,0.5,4,8,1357911,100000,45.96527357,0.749420564,5.745795089,1,399095,299090,100000,5
5,0.5,4,8,2468022,100000,45.95337864,0.749657674,5.744309266,1,399473,299468,100000,5
5,0.5,4,8,3141592,100000,45.95157386,0.750138042,5.744087668,1,400241,300236,100000,5
5,0.5,4,8,8675309,100000,45.95707843,0.750150527,5.744779359,1,400261,300256,100000,5
5,1,8,8,5259140,100000,47.00047027,0.87514311,5.875203987,1,800957,700952,100000,5
5,1,8,8,1357911,100000,47.00013334,0.874956862,5.875156046,1,799764,699759,100000,5
5,1,8,8,2468022,100000,46.99742745,0.874935752,5.874820579,1,799629,699624,100000,5
5,1,8,8,3141592,100000,46.99506848,0.875044669,5.874529233,1,800326,700321,100000,5
5,1,8,8,8675309,100000,47.00090975,0.875077136,5.875258756,1,800534,700529,100000,5
5,2,16,8,5259140,100000,47.50263443,0.937546799,5.937976765,1,1601279,1501274,100000,5
5,2,16,8,1357911,100000,47.50138321,0.937431256,5.937817865,1,1598322,1498317,100000,5
5,2,16,8,2468022,100000,47.49979043,0.937535174,5.937622749,1,1600981,1500976,100000,5
5,2,16,8,3141592,100000,47.49689232,0.937507304,5.937255536,1,1600267,1500262,100000,5
5,2,16,8,8675309,100000,47.49874428,0.937492382,5.937490483,1,1599885,1499880,100000,5
5,5,40,8,5259140,100000,47.7988916,0.975014129,5.975010152,1,4002462,3902457,100000,5
5,5,40,8,1357911,100000,47.79848737,0.974996719,5.974959904,1,3999675,3899670,100000,5
5,5,40,8,2468022,100000,47.79993336,0.975012112,5.975140032,1,4002139,3902134,100000,5
5,5,40,8,3141592,100000,47.798545,0.975018067,5.974967057,1,4003093,3903088,100000,5
5,5,40,8,8675309,100000,47.79903922,0.974991879,5.975029322,1,3998901,3898896,100000,5
20,0.001,0.008,8,5259140,100000,8.032485517,0,0.008021241,0.007988801,100000,0,100000,0
20,0.001,0.008,8,1357911,100000,8.033384083,0,0.008037432,0.008004031,100000,0,100000,0
20,0.001,0.008,8,2468022,100000,8.031047998,0,0.008015618,0.00798463,100000,0,100000,0
20,0.001,0.008,8,3141592,100000,8.032139516,0,0.008032444,0.008000303,100000,0,100000,0
20,0.001,0.008,8,8675309,100000,8.031971359,0,0.008056094,0.008024027,100000,0,100000,0
20,0.005,0.04,8,5259140,100000,8.169594105,0,0.040790777,0.039943994,100000,0,100000,0
20,0.005,0.04,8,1357911,100000,8.170947636,0,0.040875309,0.04002014,100000,0,100000,0
20,0.005,0.04,8,2468022,100000,8.167554184,0,0.040759296,0.039923135,100000,0,100000,0
20,0.005,0.04,8,3141592,100000,8.161578149,0,0.040809424,0.040001503,100000,0,100000,0
20,0.005,0.04,8,8675309,100000,8.167116373,0,0.040958214,0.040120122,100000,0,100000,0
20,0.01,0.08,8,5259140,100000,8.350130418,0,0.083384357,0.079887956,100000,0,100000,0
20,0.01,0.08,8,1357911,100000,8.354185581,0,0.083583886,0.080040248,100000,0,100000,0
20,0.01,0.08,8,2468022,100000,8.344547026,0,0.083285086,0.079846238,100000,0,100000,0
20,0.01,0.08,8,3141592,100000,8.339223825,0,0.083395338,0.080002974,100000,0,100000,0
20,0.01,0.08,8,8675309,100000,8.347269783,0,0.083723338,0.080240213,100000,0,100000,0
20,0.025,0.2,8,5259140,100000,9.003734443,0,0.224777838,0.199719651,100000,0,100000,0
20,0.025,0.2,8,1357911,100000,9.008797152,0,0.225332966,0.200100379,100000,0,100000,0
20,0.025,0.2,8,2468022,100000,8.987298776,0,0.224250355,0.199615356,100000,0,100000,0
20,0.025,0.2,8,3141592,100000,9.003305273,0,0.225090569,0.200007053,100000,0,100000,0
20,0.025,0.2,8,8675309,100000,8.997676716,0,0.22561707,0.20060029,100000,0,100000,0
20,0.05,0.4,8,5259140,100000,10.67955207,0,0.533227592,0.39943817,100000,0,100000,0
20,0.05,0.4,8,1357911,100000,10.66624535,0,0.533578868,0.400199958,100000,0,100000,0
20,0.05,0.4,8,2468022,100000,10.65011224,0,0.531480425,0.399229914,100000,0,100000,0
20,0.05,0.4,8,3141592,100000,10.68332514,0,0.534186271,0.400012505,100001,0,100000,1
20,0.05,0.4,8,8675309,100000,10.66507604,0,0.534853263,0.401199775,100000,0,100000,0
20,0.075,0.6,8,5259140,100000,13.97744145,0,1.046823136,0.599150075,100000,0,100000,0
20,0.075,0.6,8,1357911,100000,13.94048945,0,1.046057791,0.600298736,100001,0,100000,1
20,0.075,0.6,8,2468022,100000,13.96318441,0,1.045223481,0.598839675,100002,0,100000,2
20,0.075,0.6,8,3141592,100000,14.00161944,0,1.050160803,0.600016358,100002,0,100000,2
20,0.075,0.6,8,8675309,100000,14.04068589,0,1.056205079,0.601796856,100000,0,100000,0
20,0.1,0.8,8,5259140,100000,23.93559634,0,2.390250898,0.798810397,100008,0,100000,8
20,0.1,0.8,8,1357911,100000,23.6644786,0,2.367623878,0.800396713,100001,0,100000,1
20,0.1,0.8,8,2468022,100000,24.25322896,0.000219938,2.420375917,0.798301516,100028,22,100000,6
20,0.1,0.8,8,3141592,100000,23.78862569,2.99991E-05,2.37884706,0.799994785,100003,3,100000,0
20,0.1,0.8,8,8675309,100000,24.25806104,2.99991E-05,2.43298742,0.802368307,100003,3,100000,0
20,0.125,1,8,5259140,100000,86.43660313,0.02380627,10.53840754,0.975233143,102452,2439,100000,13
20,0.125,1,8,1357911,100000,87.02220075,0.022469165,10.63748156,0.977752431,102318,2299,100000,19
20,0.125,1,8,2468022,100000,84.16410273,0.023207431,10.24935704,0.974213067,102381,2376,100000,5
20,0.125,1,8,3141592,100000,85.12334901,0.024205114,10.39054716,0.97638184,102499,2481,100000,18
20,0.125,1,8,8675309,100000,89.04675133,0.02528339,10.88484815,0.977891108,102597,2594,100000,3
20,0.15,1.2,8,5259140,100000,146.8660848,0.16742556,18.35965504,0.999991923,120131,20113,100000,18
20,0.15,1.2,8,1357911,100000,146.6393148,0.16527153,18.331258,0.999970261,119821,19803,100000,18
20,0.15,1.2,8,2468022,100000,146.4212236,0.16578673,18.30116857,0.999835714,119895,19877,100000,18
20,0.15,1.2,8,3141592,100000,147.3857923,0.167777473,18.42345479,0.99992706,120183,20164,100000,19
20,0.15,1.2,8,8675309,100000,146.7132617,0.169118686,18.33968151,0.999944155,120377,20358,100000,19
20,0.2,1.6,8,5259140,100000,160.1050655,0.375097622,20.01494927,0.999996442,160057,60037,100000,20
20,0.2,1.6,8,1357911,100000,160.1109126,0.373524162,20.01572433,1,159655,59635,100000,20
20,0.2,1.6,8,2468022,100000,160.1650834,0.374417543,20.02196502,0.999972666,159883,59863,100000,20
20,0.2,1.6,8,3141592,100000,160.2930271,0.376290042,20.03848538,0.999994563,160363,60343,100000,20
20,0.2,1.6,8,8675309,100000,160.1147239,0.375667122,20.0163232,1,160203,60183,100000,20
20,0.3,2.4,8,5259140,100000,164.1838492,0.583728712,20.52498666,1,240276,140256,100000,20
20,0.3,2.4,8,1357911,100000,164.1828475,0.582167116,20.52486906,1,239378,139358,100000,20
20,0.3,2.4,8,2468022,100000,164.1772538,0.584005723,20.52411612,1,240436,140416,100000,20
20,0.3,2.4,8,3141592,100000,164.181834,0.584484428,20.52469926,0.999999709,240713,140693,100000,20
20,0.3,2.4,8,8675309,100000,164.17903,0.583418368,20.52437882,1,240097,140077,100000,20
20,0.5,4,8,5259140,100000,165.9490136,0.750479607,20.74569732,1,400849,300829,100000,20
20,0.5,4,8,1357911,100000,165.9458415,0.749382979,20.74525829,1,399095,299075,100000,20
20,0.5,4,8,2468022,100000,165.9283042,0.749620125,20.7430867,1,399473,299453,100000,20
20,0.5,4,8,3141592,100000,165.9324793,0.750100564,20.74360941,1,400241,300221,100000,20
20,0.5,4,8,8675309,100000,165.9386981,0.750113051,20.7443716,1,400261,300241,100000,20
20,1,8,8,5259140,100000,166.9833259,0.875124383,20.87499887,1,800957,700937,100000,20
20,1,8,8,1357911,100000,166.9827714,0.874938107,20.87492329,1,799764,699744,100000,20
20,1,8,8,2468022,100000,166.9779358,0.874916993,20.87431739,1,799629,699609,100000,20
20,1,8,8,3141592,100000,166.9779137,0.875025927,20.87431434,1,800326,700306,100000,20
20,1,8,8,8675309,100000,166.9839952,0.875058399,20.87508048,1,800534,700514,100000,20
20,2,16,8,5259140,100000,167.4863142,0.937537431,20.93788058,1,1601279,1501259,100000,20
20,2,16,8,1357911,100000,167.4849979,0.937421871,20.93770835,1,1598322,1498302,100000,20
20,2,16,8,2468022,100000,167.4824274,0.937525805,20.93739451,1,1600981,1500961,100000,20
20,2,16,8,3141592,100000,167.4805145,0.93749793,20.93715433,1,1600267,1500247,100000,20
20,2,16,8,8675309,100000,167.4825157,0.937483007,20.93740567,1,1599885,1499865,100000,20
20,5,40,8,5259140,100000,167.78301,0.975010381,20.97497168,1,4002462,3902442,100000,20
20,5,40,8,1357911,100000,167.782606,0.974992968,20.97491658,1,3999675,3899655,100000,20
20,5,40,8,2468022,100000,167.7836782,0.975008364,20.97505308,1,4002139,3902119,100000,20
20,5,40,8,3141592,100000,167.7826547,0.97501432,20.9749271,1,4003093,3903073,100000,20
20,5,40,8,8675309,100000,167.7831968,0.974988128,20.9749954,1,3998901,3898881,100000,20
